Empire;empire-2015
The Walking Dead;the-walking-dead
Van Helsing;van-helsing
Westworld;westworld
Chicago PD;chicago-pd
Chicago Fire;chicago-fire
Chicago Med;chicago-med
Impastor;impastor
The Exorcist;the-exorcist
The Fall;the-fall 
The Flash (2014);the-flash-2014
The Blacklist;blacklist
Lucifer;lucifer
Outcast;outcast
Vampire Diaries;vampire-diaries
Lethal Weapon;lethal-weapon
Gotham;gotham
Travelers;travelers
Legends of Tomorrow;legends-of-tomorrow
The Expanse;the-expanse
Colony;colony
Bosch;bosch
Berlin Station;berlin-station
Shooter;shooter
Chance;chance
Vikings;vikings
Frontier;frontier
Roman Empire;roman-empire;
The Night Manager;the-night-manager
2091;2091
Dead Silent;dead-silent
